X;Result
0.1000000000;-2.0959018635
0.1500000000;-1.7268321018
0.2000000000;-1.4649730349
0.2500000000;-1.2618599003
0.3000000000;-1.0959034148
0.3500000000;-0.9555897422
0.4000000000;-0.8340442077
0.4500000000;-0.7268332550
0.5000000000;-0.6309293867
0.5500000000;-0.5441750423
0.6000000000;-0.4649731972
0.6500000000;-0.3921157388
0.7000000000;-0.3246584466
0.7500000000;-0.2618594621
0.8000000000;-0.2031141726
0.8500000000;-0.1479299786
0.9000000000;-0.0959032280
0.9500000000;-0.0466892138
1.0000000000;0.0000000000
1.0500000000;0.0444107649
1.1000000000;0.0867550664
1.1500000000;0.1272163324
1.2000000000;0.1659563942
1.2500000000;0.2031141726
1.3000000000;0.2388143275
1.3500000000;0.2731668297
1.4000000000;0.3062696015
1.4500000000;0.3382120310
1.5000000000;0.3690705281
1.5500000000;0.3989170372
1.6000000000;0.4278157981
1.6500000000;0.4558251072
1.7000000000;0.4829980248
1.7500000000;0.5093829804
1.8000000000;0.5350268587
1.8500000000;0.5599663929
1.9000000000;0.5842407368
1.9500000000;0.6078844310
2.0000000000;0.6309293867
2.0500000000;0.6534051453
2.1000000000;0.6753409639
2.1500000000;0.6967592664
2.2000000000;0.7176851113
2.2500000000;0.7381406227
2.3000000000;0.7581464638
2.3500000000;0.7777219615
2.4000000000;0.7968852192
2.4500000000;0.8156532172
2.5000000000;0.8340442077
2.5500000000;0.8520692096
2.6000000000;0.8697441479
2.6500000000;0.8870823507
2.7000000000;0.9040963968
2.7500000000;0.9207981714
2.8000000000;0.9371989152
2.8500000000;0.9533113112
2.9000000000;0.9691418312
2.9500000000;0.9847016968
3.0000000000;1.0000000000
3.0500000000;1.0150453811
3.1000000000;1.0298460580
3.1500000000;1.0444098531
3.2000000000;1.0587442182
3.2500000000;1.0728584164
3.3000000000;1.0867553201
3.3500000000;1.1004432078
3.4000000000;1.1139282680
3.4500000000;1.1272164175
3.5000000000;1.1403133173
3.5500000000;1.1532243866
3.6000000000;1.1659566940
3.6500000000;1.1785117789
3.7000000000;1.1908960148
3.7500000000;1.2031139847
3.8000000000;1.2151700894
3.8500000000;1.2270685566
3.9000000000;1.2388134499
3.9500000000;1.2504086772
4.0000000000;1.2618599003
4.0500000000;1.2731672170
4.1000000000;1.2843357659
4.1500000000;1.2953689082
4.2000000000;1.3062698841
4.2500000000;1.3170418186
4.3000000000;1.3276877268
4.3500000000;1.3382105187
4.4000000000;1.3486148987
4.4500000000;1.3589000425
4.5000000000;1.3690702438
4.5500000000;1.3791280406
4.6000000000;1.3890758871
4.6500000000;1.3989161582
4.7000000000;1.4086511521
4.7500000000;1.4182830939
4.8000000000;1.4278160056
4.8500000000;1.4372484627
4.9000000000;1.4465841546
4.9500000000;1.4558250441
5.0000000000;1.4649730349
