X;Result
-4.1500000000;-33.1805363269
-4.1400000000;-30.4661037703
-4.1300000000;-28.0204739273
-4.1200000000;-25.8128353721
-4.1100000000;-23.8163514661
-4.1000000000;-22.0075922729
-4.0900000000;-20.3660552534
-4.0800000000;-18.8737597206
-4.0700000000;-17.5149027587
-4.0600000000;-16.2755665158
-4.0500000000;-15.1434685568
-4.0400000000;-14.1077484114
-4.0300000000;-13.1587846261
-4.0200000000;-12.2880375941
-4.0100000000;-11.4879142207
-4.0000000000;-10.7516511338
-3.9900000000;-10.0732136813
-3.9800000000;-9.4472083961
-3.9700000000;-8.8688069811
-3.9600000000;-8.3336801640
-3.9500000000;-7.8379400315
-3.9400000000;-7.3780890180
-3.9300000000;-6.9509784755
-3.9200000000;-6.5537659156
-3.9100000000;-6.1838839207
-3.9000000000;-5.8390095464
-3.8900000000;-5.5170380108
-3.8800000000;-5.2160594684
-3.8700000000;-4.9343384739
-3.8600000000;-4.6702957937
-3.8500000000;-4.4224922707
-3.8400000000;-4.1896144867
-3.8300000000;-3.9704620016
-3.8200000000;-3.7639359766
-3.8100000000;-3.5690290143
-3.8000000000;-3.3848160699
-3.7900000000;-3.2104463056
-3.7800000000;-3.0451357761
-3.7700000000;-2.8881608484
-3.7600000000;-2.7388522688
-3.7500000000;-2.5965898001
-3.7400000000;-2.4607973647
-3.7300000000;-2.3309386297
-3.7200000000;-2.2065129853
-3.7100000000;-2.0870518648
-3.7000000000;-1.9721153667
-3.6900000000;-1.8612891383
-3.6800000000;-1.7541814861
-3.6700000000;-1.6504206808
-3.6600000000;-1.5496524261
-3.6500000000;-1.4515374643
-3.6400000000;-1.3557492898
-3.6300000000;-1.2619719464
-3.6200000000;-1.1698978808
-3.6100000000;-1.0792258275
-3.6000000000;-0.9896586981
-3.5900000000;-0.9009014465
-3.5800000000;-0.8126588809
-3.5700000000;-0.7246333894
-3.5600000000;-0.6365225429
-3.5500000000;-0.5480165343
-3.5400000000;-0.4587954066
-3.5300000000;-0.3685260142
-3.5200000000;-0.2768586543
-3.5100000000;-0.1834232887
-3.5000000000;-0.0878249546
-3.4900000000;0.0103598639
-3.4800000000;0.1115908282
-3.4700000000;0.2163689913
-3.4600000000;0.3252448511
-3.4500000000;0.4388274692
-3.4400000000;0.5577953349
-3.4300000000;0.6829094067
-3.4200000000;0.8150288854
-3.4100000000;0.9551304396
-3.4000000000;1.1043318247
-3.3900000000;1.2639211402
-3.3800000000;1.4353933876
-3.3700000000;1.6204965716
-3.3600000000;1.8212904092
-3.3500000000;2.0402218860
-3.3400000000;2.2802236102
-3.3300000000;2.5448434381
-3.3200000000;2.8384176468
-3.3100000000;3.1663057583
-3.3000000000;3.5352142652
-3.2900000000;3.9536511930
-3.2800000000;4.4325776766
-3.2700000000;4.9863639552
-3.2600000000;5.6342327500
-3.2500000000;6.4024852479
-3.2400000000;7.3281197445
-3.2300000000;8.4648668878
-3.2200000000;9.8938652709
