X;Result
-5.4400000000;1.5035614291
-5.4300000000;1.5207118522
-5.4200000000;1.5384136584
-5.4100000000;1.5566899339
-5.4000000000;1.5755651220
-5.3900000000;1.5950651223
-5.3800000000;1.6152173997
-5.3700000000;1.6360511033
-5.3600000000;1.6575971963
-5.3500000000;1.6798885976
-5.3400000000;1.7029603379
-5.3300000000;1.7268497299
-5.3200000000;1.7515965565
-5.3100000000;1.7772432765
-5.3000000000;1.8038352527
-5.2900000000;1.8314210027
-5.2800000000;1.8600524770
-5.2700000000;1.8897853658
-5.2600000000;1.9206794413
-5.2500000000;1.9527989363
-5.2400000000;1.9862129670
-5.2300000000;2.0209960046
-5.2200000000;2.0572284026
-5.2100000000;2.0949969874
-5.2000000000;2.1343957220
-5.1900000000;2.1755264529
-5.1800000000;2.2184997530
-5.1700000000;2.2634358745
-5.1600000000;2.3104658305
-5.1500000000;2.3597326237
-5.1400000000;2.4113926484
-5.1300000000;2.4656172939
-5.1200000000;2.5225947834
-5.1100000000;2.5825322907
-5.1000000000;2.6456583846
-5.0900000000;2.7122258618
-5.0800000000;2.7825150419
-5.0700000000;2.8568376153
-5.0600000000;2.9355411556
-5.0500000000;3.0190144334
-5.0400000000;3.1076937039
-5.0300000000;3.2020701819
-5.0200000000;3.3026989746
-5.0100000000;3.4102098164
-5.0000000000;3.5253200414
-4.9900000000;3.6488503613
-4.9800000000;3.7817441802
-4.9700000000;3.9250914072
-4.9600000000;4.0801580407
-4.9500000000;4.2484232221
-4.9400000000;4.4316260570
-4.9300000000;4.6318253470
-4.9200000000;4.8514765833
-4.9100000000;5.0935323175
-4.9000000000;5.3615746330
-4.8900000000;5.6599923667
-4.8800000000;5.9942217708
-4.8700000000;6.3710787920
-4.8600000000;6.7992264117
-4.8500000000;7.2898457538
-4.8400000000;7.8576227318
-4.8300000000;8.5222410823
-4.8200000000;9.3106913682
-4.8100000000;10.2610354065
-4.8000000000;11.4287087540
-4.7900000000;12.8977180089
-4.7800000000;14.8017698003
-4.7700000000;17.3674049406
-4.7600000000;21.0114907997
-4.7500000000;26.5942411282
-4.7400000000;36.2220598974
-4.7300000000;56.7856436746
-4.7200000000;131.3901113805
-4.7100000000;-418.5851380990
-4.7000000000;-80.7188204450
-4.6900000000;-44.6685216962
-4.6800000000;-30.8800790803
-4.6700000000;-23.5980931496
-4.6600000000;-19.0967116702
-4.6500000000;-16.0388702931
-4.6400000000;-13.8263265426
-4.6300000000;-12.1512857324
-4.6200000000;-10.8392135402
-4.6100000000;-9.7837604823
-4.6000000000;-8.9164276116
-4.5900000000;-8.1911033080
-4.5800000000;-7.5756081478
-4.5700000000;-7.0468026026
-4.5600000000;-6.5876209812
-4.5500000000;-6.1852012787
-4.5400000000;-5.8296659326
-4.5300000000;-5.5133036697
-4.5200000000;-5.2300065094
-4.5100000000;-4.9748736715
-4.5000000000;-4.7439273811
-4.4900000000;-4.5339053484
-4.4800000000;-4.3421068269
-4.4700000000;-4.1662767794
-4.4600000000;-4.0045175791
-4.4500000000;-3.8552209035
-4.4400000000;-3.7170146290
-4.4300000000;-3.5887210099
-4.4200000000;-3.4693234388
-4.4100000000;-3.3579398024
-4.4000000000;-3.2538009551
-4.3900000000;-3.1562331989
-4.3800000000;-3.0646439253
-4.3700000000;-2.9785097740
-4.3600000000;-2.8973668077
-4.3500000000;-2.8208023131
-4.3400000000;-2.7484479234
-4.3300000000;-2.6799738202
-4.3200000000;-2.6150838209
-4.3100000000;-2.5535112003
-4.3000000000;-2.4950151183
-4.2900000000;-2.4393775566
-4.2800000000;-2.3864006794
