X;Result
-3.0400000000;-9.8601826478
-3.0300000000;-8.9797881866
-3.0200000000;-8.2444807086
-3.0100000000;-7.6211842492
-3.0000000000;-7.0861668536
-2.9900000000;-6.6219586308
-2.9800000000;-6.2154141459
-2.9700000000;-5.8564523269
-2.9600000000;-5.5372127188
-2.9500000000;-5.2514759682
-2.9400000000;-4.9942567897
-2.9300000000;-4.7615123518
-2.9200000000;-4.5499296225
-2.9100000000;-4.3567678087
-2.9000000000;-4.1797399253
-2.8900000000;-4.0169226089
-2.8800000000;-3.8666866158
-2.8700000000;-3.7276426755
-2.8600000000;-3.5985988805
-2.8500000000;-3.4785268444
-2.8400000000;-3.3665345923
-2.8300000000;-3.2618446716
-2.8200000000;-3.1637763468
-2.8100000000;-3.0717310158
-2.8000000000;-2.9851801877
-2.7900000000;-2.9036555130
-2.7800000000;-2.8267404670
-2.7700000000;-2.7540633769
-2.7600000000;-2.6852915453
-2.7500000000;-2.6201262730
-2.7400000000;-2.5582986271
-2.7300000000;-2.4995658248
-2.7200000000;-2.4437081321
-2.7100000000;-2.3905261941
-2.7000000000;-2.3398387273
-2.6900000000;-2.2914805193
-2.6800000000;-2.2453006878
-2.6700000000;-2.2011611619
-2.6600000000;-2.1589353514
-2.6500000000;-2.1185069802
-2.6400000000;-2.0797690576
-2.6300000000;-2.0426229713
-2.6200000000;-2.0069776843
-2.6100000000;-1.9727490229
-2.6000000000;-1.9398590427
-2.5900000000;-1.9082356002
-2.5800000000;-1.8778112949
-2.5700000000;-1.8485238657
-2.5600000000;-1.8203152090
-2.5500000000;-1.7931311623
-2.5400000000;-1.7669211772
-2.5300000000;-1.7416380237
-2.5200000000;-1.7172375240
-2.5100000000;-1.6936783107
-2.5000000000;-1.6709216080
-2.4900000000;-1.6489310332
-2.4800000000;-1.6276724162
-2.4700000000;-1.6071136344
-2.4600000000;-1.5872244633
-2.4500000000;-1.5679764392
-2.4400000000;-1.5493427341
-2.4300000000;-1.5312980407
-2.4200000000;-1.5138184677
-2.4100000000;-1.4968814427
-2.4000000000;-1.4804656241
-2.3900000000;-1.4645508191
-2.3800000000;-1.4491179084
-2.3700000000;-1.4341487772
-2.3600000000;-1.4196262512
-2.3500000000;-1.4055340370
-2.3400000000;-1.3918566679
-2.3300000000;-1.3785794530
-2.3200000000;-1.3656884302
-2.3100000000;-1.3531703227
-2.3000000000;-1.3410124988
-2.2900000000;-1.3292029337
-2.2800000000;-1.3177301754
-2.2700000000;-1.3065833112
-2.2600000000;-1.2957519382
-2.2500000000;-1.2852261344
-2.2400000000;-1.2749964328
-2.2300000000;-1.2650537964
-2.2200000000;-1.2553895954
-2.2100000000;-1.2459955854
-2.2000000000;-1.2368638876
-2.1900000000;-1.2279869697
-2.1800000000;-1.2193576283
-2.1700000000;-1.2109689720
-2.1600000000;-1.2028144065
-2.1500000000;-1.1948876193
-2.1400000000;-1.1871825663
-2.1300000000;-1.1796934589
-2.1200000000;-1.1724147519
-2.1100000000;-1.1653411319
-2.1000000000;-1.1584675066
-2.0900000000;-1.1517889950
-2.0800000000;-1.1453009173
-2.0700000000;-1.1389987863
-2.0600000000;-1.1328782989
-2.0500000000;-1.1269353280
-2.0400000000;-1.1211659147
-2.0300000000;-1.1155662618
-2.0200000000;-1.1101327263
-2.0100000000;-1.1048618138
-2.0000000000;-1.0997501718
-1.9900000000;-1.0947945844
-1.9800000000;-1.0899919667
-1.9700000000;-1.0853393600
-1.9600000000;-1.0808339267
-1.9500000000;-1.0764729459
-1.9400000000;-1.0722538088
-1.9300000000;-1.0681739793
-1.9200000000;-1.0642311353
-1.9100000000;-1.0604229432
-1.9000000000;-1.0567472050
-1.8900000000;-1.0532018166
-1.8800000000;-1.0497847646
-1.8700000000;-1.0464941239
-1.8600000000;-1.0433280541
-1.8500000000;-1.0402847976
-1.8400000000;-1.0373626766
-1.8300000000;-1.0345600913
-1.8200000000;-1.0318755169
-1.8100000000;-1.0293075023
-1.8000000000;-1.0268546675
-1.7900000000;-1.0245157023
-1.7800000000;-1.0222893639
-1.7700000000;-1.0201744758
-1.7600000000;-1.0181699261
-1.7500000000;-1.0162746656
-1.7400000000;-1.0144877073
-1.7300000000;-1.0128081243
-1.7200000000;-1.0112350490
-1.7100000000;-1.0097676720
-1.7000000000;-1.0084052409
-1.6900000000;-1.0071470595
-1.6800000000;-1.0059924868
-1.6700000000;-1.0049409365
-1.6600000000;-1.0039918756
-1.6500000000;-1.0031448247
-1.6400000000;-1.0023993564
-1.6300000000;-1.0017550955
-1.6200000000;-1.0012117182
-1.6100000000;-1.0007689519
-1.6000000000;-1.0004265746
-1.5900000000;-1.0001844149
-1.5800000000;-1.0000423516
-1.5700000000;-1.0000003136
-1.5600000000;-1.0000582799
-1.5500000000;-1.0002162795
-1.5400000000;-1.0004743914
-1.5300000000;-1.0008327449
-1.5200000000;-1.0012915193
-1.5100000000;-1.0018509448
-1.5000000000;-1.0025113020
-1.4900000000;-1.0032729229
-1.4800000000;-1.0041361911
-1.4700000000;-1.0051015420
-1.4600000000;-1.0061694638
-1.4500000000;-1.0073404976
-1.4400000000;-1.0086152387
-1.4300000000;-1.0099943366
-1.4200000000;-1.0114784965
-1.4100000000;-1.0130684798
-1.4000000000;-1.0147651051
-1.3900000000;-1.0165692494
-1.3800000000;-1.0184818489
-1.3700000000;-1.0205039008
-1.3600000000;-1.0226364638
-1.3500000000;-1.0248806602
-1.3400000000;-1.0272376770
-1.3300000000;-1.0297087675
-1.3200000000;-1.0322952529
-1.3100000000;-1.0349985245
-1.3000000000;-1.0378200450
-1.2900000000;-1.0407613788
-1.2800000000;-1.0438240807
-1.2700000000;-1.0470098706
-1.2600000000;-1.0503205192
-1.2500000000;-1.0537578800
-1.2400000000;-1.0573238921
-1.2300000000;-1.0610205832
-1.2200000000;-1.0648500720
-1.2100000000;-1.0688145719
-1.2000000000;-1.0729163940
-1.1900000000;-1.0771579508
-1.1800000000;-1.0815417595
-1.1700000000;-1.0860704464
-1.1600000000;-1.0907467507
-1.1500000000;-1.0955735290
-1.1400000000;-1.1005537599
-1.1300000000;-1.1056905487
-1.1200000000;-1.1109871326
-1.1100000000;-1.1164468864
-1.1000000000;-1.1220733278
-1.0900000000;-1.1278701238
-1.0800000000;-1.1338410970
-1.0700000000;-1.1399902325
-1.0600000000;-1.1463216850
-1.0500000000;-1.1528397863
-1.0400000000;-1.1595490538
-1.0300000000;-1.1664541985
-1.0200000000;-1.1735601347
-1.0100000000;-1.1808719890
-1.0000000000;-1.1883951110
-0.9900000000;-1.1961350840
-0.9800000000;-1.2040977364
-0.9700000000;-1.2122891541
-0.9600000000;-1.2207156935
